demand_base_MW,renewable_scale,wind_peak_MW,solar_peak_MW,negative_hours,minimum_price_EUR_MWh,average_price_EUR_MWh
60,1.3,64.99999999999999,51.99999999999999,6,-10,14.166666666666666
65,1.3,64.99999999999999,51.99999999999999,5,-10,16.25
70,1.3,64.99999999999999,51.99999999999999,4,-10,21.666666666666668
75,1.3,64.99999999999999,51.99999999999999,0,0,31.666666666666668
80,1.3,64.99999999999999,51.99999999999999,0,0,35.0
85,1.3,64.99999999999999,51.99999999999999,0,40,42.5
90,1.3,64.99999999999999,51.99999999999999,0,40,45.0
95,1.3,64.99999999999999,51.99999999999999,0,40,47.5
100,1.3,64.99999999999999,51.99999999999999,0,40,52.5
105,1.3,64.99999999999999,51.99999999999999,0,40,55.0
110,1.3,64.99999999999999,51.99999999999999,0,40,65.0
115,1.3,64.99999999999999,51.99999999999999,0,40,67.5
120,1.3,64.99999999999999,51.99999999999999,0,40,75.0
30,1.4,70.0,56.0,20,-10,-8.333333333333334
35,1.4,70.0,56.0,17,-10,-7.083333333333333
40,1.4,70.0,56.0,14,-10,-4.166666666666667
45,1.4,70.0,56.0,11,-10,0.4166666666666667
50,1.4,70.0,56.0,11,-10,0.4166666666666667
55,1.4,70.0,56.0,9,-10,4.583333333333333
60,1.4,70.0,56.0,8,-10,6.666666666666667
65,1.4,70.0,56.0,6,-10,14.166666666666666
70,1.4,70.0,56.0,5,-10,16.25
75,1.4,70.0,56.0,4,-10,21.666666666666668
80,1.4,70.0,56.0,0,0,31.666666666666668
85,1.4,70.0,56.0,0,0,35.0
90,1.4,70.0,56.0,0,40,42.5
95,1.4,70.0,56.0,0,40,47.5
100,1.4,70.0,56.0,0,40,47.5
105,1.4,70.0,56.0,0,40,52.5
110,1.4,70.0,56.0,0,40,55.0
115,1.4,70.0,56.0,0,40,65.0
120,1.4,70.0,56.0,0,40,67.5
30,1.5,74.99999999999999,59.99999999999999,22,-10,-9.166666666666666
35,1.5,74.99999999999999,59.99999999999999,18,-10,-7.5
40,1.5,74.99999999999999,59.99999999999999,15,-10,-4.583333333333333
45,1.5,74.99999999999999,59.99999999999999,13,-10,-3.75
50,1.5,74.99999999999999,59.99999999999999,11,-10,0.4166666666666667
55,1.5,74.99999999999999,59.99999999999999,10,-10,0.8333333333333334
60,1.5,74.99999999999999,59.99999999999999,9,-10,4.583333333333333
65,1.5,74.99999999999999,59.99999999999999,7,-10,8.75
70,1.5,74.99999999999999,59.99999999999999,6,-10,14.166666666666666
75,1.5,74.99999999999999,59.99999999999999,5,-10,16.25
80,1.5,74.99999999999999,59.99999999999999,4,-10,21.666666666666668
85,1.5,74.99999999999999,59.99999999999999,0,0,31.666666666666668
90,1.5,74.99999999999999,59.99999999999999,0,0,37.5
95,1.5,74.99999999999999,59.99999999999999,0,40,42.5
100,1.5,74.99999999999999,59.99999999999999,0,40,47.5
105,1.5,74.99999999999999,59.99999999999999,0,40,47.5
110,1.5,74.99999999999999,59.99999999999999,0,40,52.5
115,1.5,74.99999999999999,59.99999999999999,0,40,57.5
120,1.5,74.99999999999999,59.99999999999999,0,40,65.0
30,1.6,79.99999999999999,63.999999999999986,24,-10,-10.0
35,1.6,79.99999999999999,63.999999999999986,20,-10,-8.333333333333334
40,1.6,79.99999999999999,63.999999999999986,17,-10,-7.083333333333333
45,1.6,79.99999999999999,63.999999999999986,14,-10,-4.166666666666667
50,1.6,79.99999999999999,63.999999999999986,12,-10,-1.6666666666666667
55,1.6,79.99999999999999,63.999999999999986,11,-10,0.4166666666666667
60,1.6,79.99999999999999,63.999999999999986,9,-10,2.9166666666666665
65,1.6,79.99999999999999,63.999999999999986,9,-10,4.583333333333333
70,1.6,79.99999999999999,63.999999999999986,7,-10,8.75
75,1.6,79.99999999999999,63.999999999999986,6,-10,14.166666666666666
80,1.6,79.99999999999999,63.999999999999986,5,-10,16.25
85,1.6,79.99999999999999,63.999999999999986,3,-10,23.75
90,1.6,79.99999999999999,63.999999999999986,0,0,31.666666666666668
95,1.6,79.99999999999999,63.999999999999986,0,0,35.833333333333336
100,1.6,79.99999999999999,63.999999999999986,0,0,43.333333333333336
105,1.6,79.99999999999999,63.999999999999986,0,40,47.5
110,1.6,79.99999999999999,63.999999999999986,0,40,50.0
115,1.6,79.99999999999999,63.999999999999986,0,40,52.5
120,1.6,79.99999999999999,63.999999999999986,0,40,57.5
30,1.7,84.99999999999999,67.99999999999999,24,-10,-10.0
35,1.7,84.99999999999999,67.99999999999999,21,-10,-8.75
40,1.7,84.99999999999999,67.99999999999999,17,-10,-7.083333333333333
45,1.7,84.99999999999999,67.99999999999999,15,-10,-4.583333333333333
50,1.7,84.99999999999999,67.99999999999999,14,-10,-4.166666666666667
55,1.7,84.99999999999999,67.99999999999999,12,-10,0.0
60,1.7,84.99999999999999,67.99999999999999,11,-10,0.4166666666666667
65,1.7,84.99999999999999,67.99999999999999,9,-10,2.9166666666666665
70,1.7,84.99999999999999,67.99999999999999,9,-10,4.583333333333333
